price,Area,Location,latitude,longitude,No. of Bedrooms,Resale,VaastuCompliant,nearbyresources,essentials
55,1120,Amruthahalli,13.0665131,77.5966238,2,0,0,0000000000000,10100
30,950,Anekal City,12.8354736,77.6803178,2,0,1,1111000010001,10110
33,1025,Anekal City,12.8354736,77.6803178,2,0,1,1111000010001,10110
39,1225,Anekal City,12.8354736,77.6803178,3,0,1,1111000010001,10110
20,645,Anekal City,12.8354736,77.6803178,1,0,1,1111000010001,10110
36,1110,Anekal City,12.8354736,77.6803178,3,0,1,1111000010001,10110
69,1339,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
86,1657,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
97,1860,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
86,1660,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
93,1798,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
69,1332,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
86,1665,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
69,1340,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
87,1669,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
93,1800,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
78,1498,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
93,1735,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
80,1495,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
91,1700,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
71,1375,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
91,1700,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
68,1309,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
71,1370,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
96,1843,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
68,1320,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
96,1841,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
101,1950,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
81,1559,Anjanapura,12.8580811,77.5580713,3,0,1,1101110111011,11110
61,1176,Anjanapura,12.8580811,77.5580713,2,0,1,1101110111011,11110
93,1735,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
93,1735,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
93,1735,Anjanapura,12.8580811,77.5580713,3,0,1,1111101010001,11110
30,1075,Attibele,12.7782588,77.7712834,3,0,0,1001100010001,10110
33,1210,Attibele,12.7782588,77.7712834,3,0,0,1001100010001,10110
28,1000,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
24,870,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
25,900,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
33,1180,Attibele,12.7782588,77.7712834,3,0,0,1001100010001,10110
30,1085,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
24,880,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
25,900,Attibele,12.7782588,77.7712834,2,0,0,1101101010001,10110
33,1180,Attibele,12.7782588,77.7712834,3,0,0,1101101010001,10110
30,1075,Attibele,12.7782588,77.7712834,3,0,0,1101101010001,10110
28,1000,Attibele,12.7782588,77.7712834,2,0,0,1101101010001,10110
24,880,Attibele,12.7782588,77.7712834,2,0,0,1101101010001,10110
25,900,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
33,1210,Attibele,12.7782588,77.7712834,3,0,0,1001100010001,10110
28,1000,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
24,870,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
30,1075,Attibele,12.7782588,77.7712834,3,0,0,1001100010001,10110
30,1085,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
30,1075,Attibele,12.7782588,77.7712834,3,0,0,1101101010001,10110
34,1365,Attibele,12.7782588,77.7712834,3,0,1,1111101110101,11110
28,1147,Attibele,12.7782588,77.7712834,2,0,1,1111101110101,11110
32,1281,Attibele,12.7782588,77.7712834,2,0,1,1111101110101,11110
40,1639,Attibele,12.7782588,77.7712834,3,0,1,1111101110101,11110
29,1174,Attibele,12.7782588,77.7712834,2,0,1,1111101110101,11110
24,880,Attibele,12.7782588,77.7712834,2,0,0,1001100010001,10110
28,1000,Attibele,12.7782588,77.7712834,1,0,0,1100001010001,10100
36,1473,Attibele,12.7782588,77.7712834,3,0,1,1111101110101,11110
34,1371,Attibele,12.7782588,77.7712834,3,0,1,1111101110101,11110
39,1573,Attibele,12.7782588,77.7712834,3,0,1,1111101110101,11110
38,1529,Attibele,12.7782588,77.7712834,3,0,1,1111101110101,11110
24,995,Attibele,12.7782588,77.7712834,2,0,1,1111101110101,11110
30,1085,Attibele,12.7782588,77.7712834,2,0,0,1101101010001,10110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
157,1750,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
147,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111100010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
200,2240,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
157,1750,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
157,1750,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
138,1545,BTM Layout,12.9151772,77.6102821,3,0,0,1111101010001,11110
