price,Area,Location,latitude,longitude,No. of Bedrooms,Resale,VaastuCompliant,nearbyresources,essentials
69,1500,AS Rao Nagar,17.4798689,78.5509653,3,0,0,0000000000001,10100
25,680,AS Rao Nagar,17.4798689,78.5509653,2,1,0,0000000000000,00000
52,1440,AS Rao Nagar,17.4798689,78.5509653,3,1,1,0000010101010,11110
60,1200,AS Rao Nagar,17.4798689,78.5509653,2,1,1,0000010101000,11110
25,680,AS Rao Nagar,17.4798689,78.5509653,1,0,0,0000000000000,00000
57,1230,AS Rao Nagar,17.4798689,78.5509653,3,1,0,0000000000000,00000
60,1506,AS Rao Nagar,17.4798689,78.5509653,3,0,0,0000000000001,10100
280,2007,Abids,17.3894783,78.477182,5,1,0,0000000000000,00000
75,1700,Alapathi Nagar,17.3896623,78.4430524,3,1,0,0000000000000,11100
65,1500,Alkapur township,17.4095838,78.3639131,5,0,0,0010000000000,11111
72,1331,Alkapur township,17.4095838,78.3639131,2,1,0,0000000000001,11100
48,1020,Allwyn Colony,17.5043618,78.4149849,2,0,0,0000000000000,11110
39,1150,Allwyn Colony,17.5043618,78.4149849,2,0,1,1111111111111,11110
39,1150,Allwyn Colony,17.5043618,78.4149849,2,0,1,1111101010101,11111
48,1150,Almasguda,17.3223752,78.5280344,2,0,0,0000000000000,11000
45,1145,Alwal,17.5022292,78.5088584,2,0,0,1000001010001,10101
35,1015,Alwal,17.5022292,78.5088584,2,1,0,0000000000000,10001
50,1130,Alwal,17.5022292,78.5088584,2,0,0,0000000000000,10001
61,1545,Alwal,17.5022292,78.5088584,3,0,0,1000001010001,10101
43,1080,Alwal,17.5022292,78.5088584,2,0,1,1001001011001,11110
57,1295,Alwal,17.5022292,78.5088584,3,1,0,0000000000000,10100
79,1589,Alwal,17.5022292,78.5088584,3,0,0,1110000000000,11110
48,1210,Alwal,17.5022292,78.5088584,2,0,0,1000001010001,10101
78,1530,Alwal,17.5022292,78.5088584,3,1,0,0000000000000,10001
48,1220,Alwal,17.5022292,78.5088584,2,0,0,1000001010001,10101
54,1300,Alwal,17.5022292,78.5088584,2,0,0,0000000000000,10001
45,1145,Alwal,17.5022292,78.5088584,2,0,0,1000001010001,10101
57,1295,Alwal,17.5022292,78.5088584,3,1,0,0000000000000,10100
54,1300,Alwal,17.5022292,78.5088584,2,0,0,0000000000000,10001
40,1050,Alwal,17.5022292,78.5088584,2,1,0,0000000000000,00001
53,1330,Alwal,17.5022292,78.5088584,2,0,0,1000001010001,10101
62,1555,Alwal,17.5022292,78.5088584,3,0,0,1010001010001,11110
57,1425,Alwal,17.5022292,78.5088584,3,0,0,1000001010001,10101
40,1050,Alwal,17.5022292,78.5088584,2,1,0,0000000000000,00001
55,1575,Alwal,17.5022292,78.5088584,3,0,0,0000000010000,10101
34,1000,Ambedkar Nagar,17.4417398,78.5475568,2,0,0,0000000010000,10001
77,1280,Amberpet,17.4251271,78.5220874,3,0,0,0000000000000,00100
24,540,Amberpet,17.4251271,78.5220874,1,0,0,0000000000000,10001
70,1150,Amberpet,17.4251271,78.5220874,2,0,0,0000000000000,00000
45,1160,Ameenpur,17.5000066,78.31761,2,0,1,0000000000000,11100
80,1800,Ameerpet,17.4375012,78.4482505,3,1,0,0000000000000,11001
35,960,Arvind Nagar Colony,17.4018341,78.4037871,3,1,0,0000000000000,00100
105,1250,Ashok Nagar,17.405826,78.4902601,3,0,0,0000000000000,11010
90,1200,Ashok Nagar,17.405826,78.4902601,2,0,0,0000000000000,00000
85,1145,Ashok Nagar,17.405826,78.4902601,2,0,0,0000000000000,00000
133,2122,Ashok Nagar,17.405826,78.4902601,3,0,1,1110101010001,11110
55,1300,Ashok Nagar,17.405826,78.4902601,3,1,0,0000000000000,01100
200,2250,Ashok Nagar,17.405826,78.4902601,3,1,0,0000000000000,11110
120,1590,Ashok Nagar,17.405826,78.4902601,3,0,0,0000000000000,00000
127,2021,Ashok Nagar,17.405826,78.4902601,3,0,1,1110101010001,11110
63,1470,Attapur,17.3672244,78.4307278,2,0,0,1000001010001,10100
63,1470,Attapur,17.3672244,78.4307278,2,0,0,1000001010001,10100
84,1955,Attapur,17.3672244,78.4307278,3,0,0,1000001010001,10100
83,1951,Attapur,17.3672244,78.4307278,3,0,0,1000001010001,10100
83,1951,Attapur,17.3672244,78.4307278,3,0,0,1000001010001,10100
65,1361,Attapur,17.3672244,78.4307278,3,0,0,1100001000001,10100
83,1950,Attapur,17.3672244,78.4307278,3,0,0,1000001010001,10100
109,2875,Attapur,17.3672244,78.4307278,4,1,0,1111100010001,11110
32,1200,Attapur,17.3672244,78.4307278,3,1,0,0000000000000,00000
63,1471,Attapur,17.3672244,78.4307278,2,0,0,1000001010001,10100
75,1406,Attapur,17.3672244,78.4307278,3,0,0,0000000000000,10101
42,1020,Attapur,17.3672244,78.4307278,2,0,0,0000000000000,00000
75,1406,Attapur,17.3672244,78.4307278,3,0,0,0000000000000,00000
65,1480,Attapur,17.3672244,78.4307278,3,0,0,0000000000000,00000
65,1480,Attapur,17.3672244,78.4307278,3,0,0,0000000000000,00000
83,1950,Attapur,17.3672244,78.4307278,3,0,0,1000001010001,10100
31,1100,BHEL,17.4943209,78.3168615,3,0,0,0000000000000,00000
46,1232,BHEL,17.4943209,78.3168615,2,0,1,0000000000000,11100
27,750,BK Guda Internal Road,17.4473526,78.4464954,2,1,0,0000000000000,00000
28,1000,BK Guda Internal Road,17.4473526,78.4464954,2,1,0,0000000000000,00000
52,1200,BK Guda Internal Road,17.4473526,78.4464954,2,1,0,0000000000001,11110
170,2300,BK Guda Road,17.4445671,78.4465616,3,0,0,1100000000000,01010
42,1050,BK Guda Road,17.4445671,78.4465616,2,1,0,0000000000000,00000
27,750,BK Guda Road,17.4445671,78.4465616,2,1,0,0000000000000,00000
29,1150,Bachupally,17.5423902,78.3854429,2,0,0,0000000000001,00100
65,1450,Bachupally,17.5423902,78.3854429,3,0,0,0000000000000,00000
46,1200,Bachupally,17.5423902,78.3854429,2,0,0,0000000000000,00000
46,1200,Bachupally,17.5423902,78.3854429,2,0,0,0000000000000,11010
62,1600,Bachupally,17.5423902,78.3854429,3,0,0,0000000000000,00000
56,1200,Bachupally,17.5423902,78.3854429,2,0,1,1110100010001,10110
46,1200,Bachupally,17.5423902,78.3854429,2,0,0,0000000000000,11010
