price,Area,Location,latitude,longitude,No. of Bedrooms,Resale,VaastuCompliant,nearbyresources,essentials
350,800,15th Road,19.078685,72.8320569,2,1,0,0000000000000,00001
180,675,4 Bunglows,19.0444711,72.91006,2,1,0,1000000000000,11110
140,1183,Airoli,19.1582719,72.9967088,2,0,1,1111101010001,11110
149,1245,Airoli,19.1582719,72.9967088,2,0,0,0000000000000,11101
62,400,Airoli,19.1582719,72.9967088,1,1,0,0000000000000,11110
95,1000,Airoli,19.1582719,72.9967088,2,1,0,0100000010000,11110
360,900,Almeida Park,19.05756305,72.83147308694079,2,1,0,0000000000000,01101
26,673,Ambarnath,19.2015607,73.2004771,1,0,0,1111111110111,11110
24,640,Ambarnath,19.2015607,73.2004771,1,0,0,0000000111010,11110
24,660,Ambarnath,19.2015607,73.2004771,1,0,0,0000000101001,11110
25,675,Ambarnath,19.2015607,73.2004771,1,0,0,1000000101011,11110
300,1480,Andheri,19.1196976,72.8464205,3,1,0,0010000010000,11110
175,650,Andheri,19.1196976,72.8464205,1,1,0,1000000000000,11110
140,1000,Andheri,19.1196976,72.8464205,2,1,0,1110000010000,11110
180,1100,Andheri,19.1196976,72.8464205,2,1,1,1110000010000,11110
85,1225,Andheri,19.1196976,72.8464205,3,1,1,1110000010000,11110
653,3025,Andheri,19.1196976,72.8464205,4,0,1,1111101010001,11110
387,1295,Andheri,19.1196976,72.8464205,3,0,1,1111000010001,11111
170,1114,Andheri East,19.1158835,72.854202,3,0,1,1111000010001,11100
200,1260,Andheri East,19.1158835,72.854202,2,0,1,1111111111111,11110
334,2016,Andheri East,19.1158835,72.854202,3,0,1,1111111111111,11110
120,1050,Andheri East,19.1158835,72.854202,2,1,0,1010000010000,11110
111,655,Andheri East,19.1158835,72.854202,2,1,0,0000000000000,11010
285,997,Andheri West,19.1172495,72.833968,2,0,0,0010000000000,11110
550,1950,Andheri West,19.1172495,72.833968,3,0,1,1111111111111,11110
1100,3300,Andheri West,19.1172495,72.833968,4,0,0,0000000000000,00000
20,574,Asangaon,19.4399615,73.3081462,1,1,1,1110101010001,11110
20,600,Badlapur,19.1666237,73.2389064,1,0,0,0000000101011,11110
21,505,Badlapur,19.1666237,73.2389064,1,0,1,1110101111011,11110
20,575,Badlapur,19.1666237,73.2389064,1,0,0,0000000101010,11110
28,675,Badlapur East,19.153266350000003,73.24120847913576,1,0,0,0000000101010,11110
28,675,Badlapur East,19.153266350000003,73.24120847913576,1,0,0,0000000101010,11110
36,715,Badlapur West,19.2368179,73.1379478,1,0,1,0000000010001,01110
36,715,Badlapur West,19.2368179,73.1379478,1,0,1,0000000010001,01110
23,620,Badlapur West,19.2368179,73.1379478,1,0,0,0000000000000,11111
