seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
OWNER,3.0,BHK,Apartment,Ambattur,"17,000",1570.0,Semi-Furnished,2 bathrooms,13.1128863,80.15986241084877
OWNER,2.0,BHK,Apartment,Kelambakkam,"16,000",1402.0,Semi-Furnished,2 bathrooms,12.7871437,80.219987
OWNER,2.0,BHK,Apartment,Adyar,"20,000",800.0,Semi-Furnished,2 bathrooms,13.00645,80.2577791
OWNER,2.0,BHK,Apartment,Sembakkam,"14,000",1180.0,Unfurnished,2 bathrooms,12.7023624,80.1298612
OWNER,1.0,BHK,Independent House,Mogappair,"7,000",400.0,Unfurnished,1 bathrooms,13.0835142,80.1840779
OWNER,1.0,BHK,Independent House,Choolaimedu,"8,500",500.0,Semi-Furnished,2 bathrooms,13.0623344,80.2254012
OWNER,2.0,BHK,Apartment,Medavakkam,"10,000",800.0,Semi-Furnished,2 bathrooms,12.9229928,80.1882897
OWNER,2.0,BHK,Apartment,Vadapalani,"15,000",615.0,Unfurnished,2 bathrooms,13.0509304,80.2120661
OWNER,2.0,BHK,Apartment,Perumbakkam,"25,000",1000.0,Furnished,2 bathrooms,12.2202453,78.9945343
OWNER,2.0,BHK,Apartment,Thirumullaivoyal,"11,000",905.0,Unfurnished,2 bathrooms,13.1152512,80.1382237
OWNER,2.0,BHK,Apartment,Ambattur INDUSTRIAL ESTATE,"13,000",1200.0,Semi-Furnished,2 bathrooms,13.0922855,80.1675492
OWNER,3.0,BHK,Independent House,Urapakkam,"12,500",1500.0,Semi-Furnished,3 bathrooms,12.8636676,80.0721616
OWNER,3.0,BHK,Independent Floor,Palavakam,"32,000",2100.0,Semi-Furnished,3 bathrooms,Not found,Not found
OWNER,1.0,BHK,Independent Floor,Kolathur,"5,500",250.0,Unfurnished,1 bathrooms,13.1241127,80.2046276
OWNER,2.0,BHK,Independent House,Madhanandapuram,"8,500",720.0,Unfurnished,2 bathrooms,Not found,Not found
OWNER,3.0,BHK,Apartment,Perungudi,"18,000",1765.0,Unfurnished,3 bathrooms,12.9710239,80.2418051
OWNER,1.0,BHK,Independent Floor,Medavakkam,"7,500",550.0,Semi-Furnished,1 bathrooms,12.9229928,80.1882897
OWNER,3.0,BHK,Independent House,Kilpauk,"30,000",1000.0,Semi-Furnished,2 bathrooms,13.0832149,80.2379864
OWNER,2.0,BHK,Apartment,Sholinganallur,"12,000",750.0,Unfurnished,2 bathrooms,12.9174426,80.21649018230858
OWNER,3.0,BHK,Independent House,Valasaravakkam,"25,000",1750.0,Furnished,3 bathrooms,13.0410164,80.1721682
OWNER,2.0,BHK,Independent Floor,Mylapore Devandavakkam,"15,000",650.0,Unfurnished,1 bathrooms,Not found,Not found
OWNER,4.0,BHK,Apartment,Adyar,"70,000",2350.0,Semi-Furnished,3 bathrooms,13.00645,80.2577791
OWNER,1.0,BHK,Independent Floor,Ramavaram,"7,000",600.0,Unfurnished,1 bathrooms,17.7112638,79.5187425
OWNER,1.0,BHK,Apartment,Ayanavaram,"10,000",650.0,Semi-Furnished,1 bathrooms,13.0946157,80.23541
