seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
OWNER,1.0,RK,Studio Apartment,Vasant Kunj,"9,999",500.0,Furnished,1 bathrooms,28.5292495,77.1541335
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,2.0,BHK,Apartment,Saket,"13,000",1050.0,Semi-Furnished,2 bathrooms,28.5244107,77.2137253
OWNER,1.0,BHK,Apartment,New Ashok Nagar,"10,000",550.0,Furnished,1 bathrooms,28.5890885,77.3015085
OWNER,2.0,BHK,Independent Floor,laxmi nagar,"13,500",648.0,Furnished,1 bathrooms,28.6305974,77.277523
OWNER,3.0,BHK,Independent Floor,Malviya Nagar,"65,000",1500.0,Semi-Furnished,2 bathrooms,28.5339201,77.2124474
OWNER,2.0,BHK,Independent Floor,Sector-17 Rohini,"16,000",659.0,Semi-Furnished,2 bathrooms,28.7403029,77.11276163444802
OWNER,2.0,BHK,Independent Floor,Khanpur,"9,500",700.0,Unfurnished,2 bathrooms,25.851055549999998,85.94084326226093
OWNER,2.0,BHK,Independent Floor,Pitampura,"16,000",684.0,Unfurnished,1 bathrooms,28.6995123,77.1301047
OWNER,1.0,BHK,Independent Floor,Uttam Nagar,"7,500",450.0,Unfurnished,1 bathrooms,28.6215226,77.0611064
OWNER,2.0,BHK,Independent Floor,Janakpuri,"21,000",750.0,Semi-Furnished,2 bathrooms,28.6219272,77.0874757
OWNER,1.0,BHK,Independent Floor,vikaspuri,"13,000",450.0,Furnished,1 bathrooms,28.6386159,77.0731564
OWNER,1.0,RK,Studio Apartment,Shadipur,"9,000",560.0,Semi-Furnished,1 bathrooms,28.6516362,77.1582947
OWNER,3.0,BHK,Independent House,Karol Bagh,"25,000",891.0,Semi-Furnished,2 bathrooms,28.6529982,77.1890227
OWNER,3.0,BHK,Independent Floor,Palam,"14,000",800.0,Semi-Furnished,2 bathrooms,18.980182550000002,76.95452309807402
OWNER,1.0,BHK,Independent House,Baprola,"6,500",400.0,Semi-Furnished,2 bathrooms,28.64038345,77.01289008114082
OWNER,3.0,BHK,Independent Floor,Burari,"17,000",1000.0,Unfurnished,2 bathrooms,11.469906,13.757859
OWNER,2.0,BHK,Independent House,Pochanpur Colony,"15,000",850.0,Semi-Furnished,2 bathrooms,Not found,Not found
OWNER,2.0,BHK,Independent Floor,Kalkaji,"18,000",1050.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
OWNER,2.0,BHK,Apartment,Palam,"12,000",780.0,Semi-Furnished,2 bathrooms,18.980182550000002,76.95452309807402
OWNER,1.0,RK,Studio Apartment,Munirka,"7,000",150.0,Semi-Furnished,1 bathrooms,28.5568967,77.1750592
OWNER,1.0,BHK,Independent Floor,Lajpat Nagar,"7,500",750.0,Furnished,1 bathrooms,28.5660924,77.2432851
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"11,000",450.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,Lajpat Nagar,"16,000",500.0,Furnished,1 bathrooms,28.5660924,77.2432851
OWNER,4.0,BHK,Independent Floor,Dr Mukherji Nagar,"32,000",1200.0,Unfurnished,2 bathrooms,28.7057279,77.21372495156884
AGENT,3.0,BHK,Apartment,Vasant Vihar,1.25,2500.0,Furnished,3 bathrooms,28.5602932,77.1628475
AGENT,3.0,BHK,Apartment,Sector 22 Dwarka,"30,000",1800.0,Semi-Furnished,3 bathrooms,28.5579591,77.0580701
AGENT,3.0,BHK,Apartment,Sector 6 Dwarka,"32,000",1750.0,Semi-Furnished,2 bathrooms,28.5925436,77.06467187079608
OWNER,3.0,BHK,Independent Floor,Model Town,"30,000",1300.0,Unfurnished,3 bathrooms,28.7027136,77.1939912
OWNER,2.0,BHK,Apartment,Ghitorni,"22,000",1450.0,Semi-Furnished,2 bathrooms,28.493751,77.1491866
AGENT,2.0,BHK,Apartment,New Ashok Nagar,"12,000",650.0,Semi-Furnished,2 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,Sector 23 Dwarka,"14,000",980.0,Semi-Furnished,2 bathrooms,28.5619923,77.0491008
OWNER,1.0,BHK,Independent Floor,Dwarka Mor,"7,500",550.0,Semi-Furnished,1 bathrooms,28.61931,77.0332792
OWNER,2.0,BHK,Independent Floor,laxmi nagar,"13,000",630.0,Semi-Furnished,1 bathrooms,28.6305974,77.277523
OWNER,3.0,BHK,Apartment,Chattarpur,"22,000",1000.0,Semi-Furnished,2 bathrooms,28.503846,77.183032
AGENT,4.0,BHK,Independent Floor,Sector 8 Dwarka,"30,000",1900.0,Semi-Furnished,3 bathrooms,28.5711087,77.0730945
OWNER,2.0,BHK,Independent Floor,Malviya Nagar,"28,000",1100.0,Furnished,2 bathrooms,28.5339201,77.2124474
OWNER,2.0,BHK,Independent Floor,Wazirabad,"8,000",484.0,Unfurnished,1 bathrooms,32.4417427,74.1182117
OWNER,2.0,BHK,Independent Floor,Mahavir Enclave,"15,000",800.0,Semi-Furnished,2 bathrooms,9.92960895,76.25554196442533
OWNER,2.0,BHK,Independent Floor,Dwarka Mor,"13,000",600.0,Furnished,1 bathrooms,28.61931,77.0332792
AGENT,3.0,BHK,Independent Floor,Neeti Bagh,"80,000",2000.0,Semi-Furnished,3 bathrooms,28.5592511,77.2161665
AGENT,3.0,BHK,Independent Floor,Neeti Bagh,1.5,4000.0,Semi-Furnished,3 bathrooms,28.5592511,77.2161665
OWNER,3.0,BHK,Apartment,Vasant Kunj,"41,000",1500.0,Furnished,2 bathrooms,28.5292495,77.1541335
AGENT,1.0,BHK,Independent House,Malviya Nagar,"12,000",500.0,Unfurnished,1 bathrooms,28.5339201,77.2124474
OWNER,1.0,RK,Studio Apartment,Kalkaji,"16,000",280.0,Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,"13,500",650.0,Semi-Furnished,1 bathrooms,28.6036425,77.2909319
AGENT,3.0,BHK,Independent Floor,Panchsheel Park,1.1,3600.0,Semi-Furnished,3 bathrooms,28.5423747,77.2210916
AGENT,2.0,BHK,Independent Floor,Defence Colony,"72,000",2020.0,Furnished,2 bathrooms,28.5713575,77.2330402
OWNER,1.0,BHK,Independent Floor,Mayur Vihar Phase 3,"15,000",450.0,Semi-Furnished,1 bathrooms,28.6077373,77.3011842
OWNER,2.0,BHK,Apartment,Sector 8 Dwarka,"16,500",750.0,Semi-Furnished,2 bathrooms,28.5711087,77.0730945
OWNER,2.0,BHK,Apartment,Aya Nagar,"8,500",500.0,Unfurnished,1 bathrooms,28.47649105,77.13291315925144
OWNER,1.0,RK,Studio Apartment,Mayur Vihar Phase 3,"6,000",450.0,Semi-Furnished,1 bathrooms,28.6077373,77.3011842
AGENT,2.0,BHK,Apartment,Saket,"45,000",1800.0,Furnished,3 bathrooms,28.5244107,77.2137253
OWNER,2.0,BHK,Independent Floor,Tilak Nagar,"17,500",700.0,Furnished,2 bathrooms,28.6365482,77.0964961
OWNER,2.0,BHK,Independent Floor,Shalimar Bagh,"18,000",1000.0,Unfurnished,1 bathrooms,34.14970725,74.87322601530605
OWNER,3.0,BHK,Independent Floor,Pitampura,"35,000",1426.0,Furnished,2 bathrooms,28.6995123,77.1301047
OWNER,1.0,BHK,Independent Floor,Sector 1 Dwarka,"7,500",500.0,Semi-Furnished,1 bathrooms,28.596850699999997,77.07350241153286
OWNER,1.0,BHK,Apartment,mayur vihar phase 1,"10,000",500.0,Unfurnished,1 bathrooms,28.6036425,77.2909319
OWNER,2.0,BHK,Independent Floor,Ramesh Nagar,"20,000",900.0,Unfurnished,1 bathrooms,28.6527444,77.1316496
OWNER,1.0,BHK,Apartment,Jaunapur,"10,400",650.0,Semi-Furnished,2 bathrooms,Not found,Not found
OWNER,3.0,BHK,Independent Floor,Kalkaji,"58,000",1800.0,Semi-Furnished,3 bathrooms,28.5469476,77.258801
OWNER,2.0,BHK,Apartment,Ashok Vihar,"21,000",891.0,Semi-Furnished,2 bathrooms,19.116503,72.886755
OWNER,2.0,BHK,Independent Floor,Sector 8 Rohini,"15,000",665.0,Semi-Furnished,1 bathrooms,28.6997763,77.10918629997565
OWNER,1.0,BHK,Apartment,West Shalimar Bagh,"11,000",450.0,Semi-Furnished,1 bathrooms,28.7019574,77.1654317
OWNER,1.0,RK,Studio Apartment,vikaspuri,"7,500",500.0,Furnished,1 bathrooms,28.6386159,77.0731564
OWNER,1.0,RK,Studio Apartment,Samalka,"5,000",900.0,Unfurnished,1 bathrooms,59.2136637,122.5629298
OWNER,1.0,BHK,Apartment,Chattarpur,"8,000",800.0,Semi-Furnished,1 bathrooms,28.503846,77.183032
OWNER,2.0,BHK,Apartment,Chattarpur,"18,000",850.0,Furnished,3 bathrooms,28.503846,77.183032
OWNER,2.0,BHK,Independent Floor,Vijay Nagar,"25,000",900.0,Semi-Furnished,2 bathrooms,16.7791503,74.6981692
OWNER,2.0,BHK,Apartment,Neb Sarai,"13,000",1000.0,Unfurnished,2 bathrooms,28.5055007,77.2014964
OWNER,1.0,RK,Studio Apartment,Saket,"8,500",450.0,Furnished,1 bathrooms,28.5244107,77.2137253
OWNER,1.0,RK,Studio Apartment,Saket,"12,000",370.0,Semi-Furnished,1 bathrooms,28.5244107,77.2137253
OWNER,3.0,BHK,Apartment,Moti Bagh,"60,000",2000.0,Semi-Furnished,2 bathrooms,28.6676187,77.1842269
OWNER,2.0,BHK,Apartment,Ashok Vihar,"20,000",1000.0,Semi-Furnished,1 bathrooms,19.116503,72.886755
OWNER,2.0,BHK,Apartment,Manglapuri,"11,000",544.0,Unfurnished,2 bathrooms,28.5991645,77.0973264
OWNER,1.0,RK,Studio Apartment,Karampura,"14,000",370.0,Semi-Furnished,1 bathrooms,26.8262101,76.9354974
OWNER,6.0,BHK,Independent Floor,Greater Kailash,"80,000",2000.0,Furnished,3 bathrooms,28.5419077,77.2384925
OWNER,4.0,BHK,Independent Floor,Malviya Nagar,"99,000",3000.0,Semi-Furnished,4 bathrooms,28.5339201,77.2124474
OWNER,3.0,BHK,Independent Floor,Sahibabad,"12,000",1250.0,Semi-Furnished,2 bathrooms,28.671638,77.37176435553712
OWNER,1.0,BHK,Apartment,SULTANPUR,"9,000",550.0,Semi-Furnished,1 bathrooms,26.242510850000002,82.29616931685918
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,2.0,BHK,Apartment,Saket,"13,000",1050.0,Semi-Furnished,2 bathrooms,28.5244107,77.2137253
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750.0,Semi-Furnished,1 bathrooms,28.5266021,77.1563348
OWNER,1.0,BHK,Apartment,New Ashok Nagar,"10,000",550.0,Furnished,1 bathrooms,28.5890885,77.3015085
OWNER,3.0,BHK,Independent Floor,Malviya Nagar,"65,000",1500.0,Semi-Furnished,2 bathrooms,28.5339201,77.2124474
AGENT,2.0,BHK,Apartment,Neeti Bagh,"65,000",1500.0,Semi-Furnished,2 bathrooms,28.5592511,77.2161665
OWNER,1.0,BHK,Apartment,Green Park,"25,000",1200.0,Furnished,1 bathrooms,51.5066192,-0.1429113
AGENT,2.0,BHK,Apartment,Sector 13 Dwarka,"16,000",1100.0,Semi-Furnished,2 bathrooms,28.6058267,77.0363145
AGENT,2.0,BHK,Apartment,Sector 13 Dwarka,"16,000",1100.0,Semi-Furnished,2 bathrooms,28.6058267,77.0363145
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,2.0,BHK,Independent Floor,Sector-7 Rohini,"15,000",580.0,Semi-Furnished,1 bathrooms,28.70231915,77.11688208878023
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"11,000",350.0,Unfurnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"9,000",400.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"15,500",550.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"13,000",600.0,Semi-Furnished,2 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"12,000",600.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"11,000",350.0,Unfurnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"9,000",400.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"15,500",550.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"13,000",750.0,Semi-Furnished,2 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"15,500",600.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"9,000",600.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"9,000",600.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"15,000",550.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"5,500",300.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent House,New Ashok Nagar,"7,500",450.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"12,000",600.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"9,000",400.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"9,500",500.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"18,000",700.0,Furnished,2 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"6,500",450.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"11,000",500.0,Unfurnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"15,500",550.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"8,500",400.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,3.0,BHK,Independent Floor,New Ashok Nagar,"23,000",1200.0,Unfurnished,2 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"9,000",500.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"10,000",500.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",300.0,Unfurnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",350.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"11,000",400.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"15,000",450.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"8,500",300.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",250.0,Unfurnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",300.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",300.0,Unfurnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",250.0,Semi-Furnished,NorthEast facing,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"6,000",250.0,Semi-Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"12,000",550.0,Semi-Furnished,2 bathrooms,28.5890885,77.3015085
AGENT,1.0,RK,Studio Apartment,New Ashok Nagar,"8,000",300.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,1.0,BHK,Independent Floor,New Ashok Nagar,"11,500",450.0,Furnished,1 bathrooms,28.5890885,77.3015085
AGENT,2.0,BHK,Independent Floor,New Ashok Nagar,"17,000",600.0,Furnished,2 bathrooms,28.5890885,77.3015085
