seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
OWNER,1,RK,Studio Apartment,Serilingampally,"6,720",320,Furnished,1 bathrooms,17.4842051,78.2995091
OWNER,5,BHK,Villa,Sri Nagar Colony,"36,000",3000,Semi-Furnished,4 bathrooms,17.3768805,78.5117854
OWNER,2,BHK,Independent House,Shaikpet,"11,000",900,Semi-Furnished,2 bathrooms,17.4057955,78.4006536
OWNER,3,BHK,Apartment,Nanakramguda,"45,000",2165,Unfurnished,3 bathrooms,17.4129831,78.338635
OWNER,3,BHK,Apartment,Kondapur,"20,000",1600,Semi-Furnished,3 bathrooms,18.3309604,79.9224686
OWNER,1,BHK,Independent House,manneguda,"5,000",600,Unfurnished,1 bathrooms,19.3216024,79.4425142
OWNER,2,BHK,Apartment,Manikonda,"12,000",1165,Furnished,2 bathrooms,16.449897,80.8334595
OWNER,3,BHK,Independent House,Jubilee Hills,"60,000",3000,Semi-Furnished,3 bathrooms,17.4308362,78.4102882
OWNER,2,BHK,Independent Floor,Kondapur,"17,000",900,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
OWNER,2,BHK,Apartment,Kondapur,"22,000",1400,Semi-Furnished,2 bathrooms,18.3309604,79.9224686
OWNER,1,BHK,Independent House,Gajularamaram,"6,500",1000,Semi-Furnished,1 bathrooms,17.5271759,78.4200077
OWNER,3,BHK,Villa,Narsingi,"49,000",3431,Semi-Furnished,4 bathrooms,21.3679273,78.4456015
OWNER,3,BHK,Apartment,Begumpet,"13,000",1000,Semi-Furnished,2 bathrooms,17.4440199,78.4624821
OWNER,2,BHK,Apartment,Begumpet,"20,000",1000,Unfurnished,2 bathrooms,17.4440199,78.4624821
OWNER,1,BHK,Independent Floor,Kukatpally,"6,500",160,Unfurnished,1 bathrooms,17.4930841,78.4054408
OWNER,5,BHK,Independent House,LB Nagar,"45,000",3500,Furnished,4 bathrooms,17.3501617,78.5510938
OWNER,1,RK,Studio Apartment,Banjara Hills,"7,500",1500,Furnished,1 bathrooms,17.4177464,78.4399014
OWNER,2,BHK,Apartment,Begumpet,"15,000",1100,Semi-Furnished,2 bathrooms,17.4440199,78.4624821
OWNER,3,BHK,Apartment,Nallagandla Gachibowli,"23,000",1600,Semi-Furnished,3 bathrooms,17.4774828,78.3060359
OWNER,2,BHK,Independent House,Trimalgherry,"7,500",850,Semi-Furnished,2 bathrooms,Not found,Not found
OWNER,2,BHK,Independent House,Kukatpally,"15,000",1500,Semi-Furnished,2 bathrooms,17.4930841,78.4054408
OWNER,2,BHK,Apartment,Meerpet,"4,000",645,Semi-Furnished,2 bathrooms,28.9723114,77.6870513
OWNER,3,BHK,Apartment,Gachibowli,"30,000",1300,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
OWNER,2,BHK,Apartment,Serilingampally,"21,000",1080,Semi-Furnished,2 bathrooms,17.4842051,78.2995091
OWNER,3,BHK,Independent Floor,AS Rao Nagar,"21,000",1600,Semi-Furnished,2 bathrooms,17.4798689,78.5509653
OWNER,3,BHK,Apartment,Nizampet,"22,000",1900,Semi-Furnished,3 bathrooms,17.515397,78.3817156
OWNER,2,BHK,Independent Floor,Kapra,"15,000",1600,Semi-Furnished,2 bathrooms,58.4804569,23.02073905062165
OWNER,1,BHK,Independent House,Kukatpally,"8,000",600,Semi-Furnished,1 bathrooms,17.4930841,78.4054408
OWNER,3,BHK,Apartment,Puppalaguda,"21,000",1500,Semi-Furnished,2 bathrooms,17.39999505,78.3861689281263
OWNER,3,BHK,Independent Floor,Nizampet,"20,000",1530,Furnished,3 bathrooms,17.515397,78.3817156
OWNER,1,BHK,Independent Floor,Chandanagar,"9,000",900,Unfurnished,1 bathrooms,17.4872976,78.3322142
OWNER,2,BHK,Independent House,Sri Nagar Colony,"12,000",1470,Unfurnished,2 bathrooms,17.3768805,78.5117854
OWNER,2,BHK,Apartment,Manikonda,"18,500",1400,Semi-Furnished,2 bathrooms,16.449897,80.8334595
OWNER,1,BHK,Independent Floor,Manikonda,"13,000",900,Semi-Furnished,1 bathrooms,16.449897,80.8334595
OWNER,1,BHK,Apartment,Banjara Hills,"8,000",450,Unfurnished,1 bathrooms,17.4177464,78.4399014
OWNER,1,BHK,Independent House,Aminpur,"7,000",500,Unfurnished,1 bathrooms,32.127466,74.4024513
OWNER,1,BHK,Apartment,Hitech City,"12,000",500,Furnished,1 bathrooms,17.4698143,78.3853779
OWNER,1,BHK,Independent Floor,Jubilee Hills,"8,000",391,Unfurnished,1 bathrooms,17.4308362,78.4102882
OWNER,1,RK,Studio Apartment,Madhapur,"5,000",150,Unfurnished,2 bathrooms,17.4408924,78.3916304
OWNER,3,BHK,Apartment,Gachibowli,"38,000",2160,Semi-Furnished,3 bathrooms,17.4436222,78.3519638
OWNER,2,BHK,Independent House,Kukatpally,"25,000",1200,Furnished,2 bathrooms,17.4930841,78.4054408
OWNER,3,BHK,Apartment,Madhapur,"19,000",1500,Semi-Furnished,2 bathrooms,17.4408924,78.3916304
OWNER,1,BHK,Independent Floor,Kukatpally,"6,300",900,Unfurnished,1 bathrooms,17.4930841,78.4054408
OWNER,1,BHK,Independent House,Hastinapuram,"5,500",500,Unfurnished,1 bathrooms,17.3291354,78.5542145
OWNER,1,BHK,Independent House,Madhapur,"10,000",340,Semi-Furnished,1 bathrooms,17.4408924,78.3916304
OWNER,2,BHK,Independent House,Mehdipatnam,"15,000",1150,Semi-Furnished,1 bathrooms,17.3942627,78.4342514
OWNER,3,BHK,Apartment,Mehdipatnam,"14,000",1400,Unfurnished,3 bathrooms,17.3942627,78.4342514
OWNER,2,BHK,Independent House,Hyderabad Shah Guda,"9,500",1000,Unfurnished,2 bathrooms,Not found,Not found
OWNER,3,BHK,Apartment,Gachibowli,"27,000",1740,Semi-Furnished,1 bathrooms,17.4436222,78.3519638
OWNER,2,BHK,Independent House,Aminpur,"10,000",1500,Unfurnished,2 bathrooms,32.127466,74.4024513
OWNER,1,BHK,Apartment,Kukatpally,"12,000",500,Semi-Furnished,1 bathrooms,17.4930841,78.4054408
OWNER,1,BHK,Independent House,LB Nagar,"8,000",600,Unfurnished,1 bathrooms,17.3501617,78.5510938
OWNER,3,BHK,Apartment,Shaikpet,"25,000",1610,Semi-Furnished,3 bathrooms,17.4057955,78.4006536
OWNER,6,BHK,Apartment,Moosapet,"35,000",2250,Semi-Furnished,3 bathrooms,17.4685307,78.4206695
OWNER,2,BHK,Independent House,LB Nagar,"11,500",1150,Semi-Furnished,2 bathrooms,17.3501617,78.5510938
OWNER,3,BHK,Independent Floor,Syed Ali Guda,"17,000",1500,Semi-Furnished,3 bathrooms,17.3884988,78.4462402
OWNER,2,BHK,Independent Floor,Kothapet,"14,400",800,Semi-Furnished,2 bathrooms,16.530442,80.882155
OWNER,2,BHK,Independent House,Rani Gunj,"7,000",650,Furnished,2 bathrooms,Not found,Not found
OWNER,2,BHK,Apartment,Suraram,"9,000",1000,Furnished,2 bathrooms,17.6345647,80.7166463
OWNER,6,BHK,Villa,Hitech City,1.5,3060,Furnished,,17.4698143,78.3853779
OWNER,2,BHK,Apartment,Hafeezpet,"14,000",1150,Semi-Furnished,2 bathrooms,17.4834027,78.3613099
OWNER,3,BHK,Apartment,Manikonda,"13,500",1410,Semi-Furnished,3 bathrooms,16.449897,80.8334595
OWNER,2,BHK,Apartment,Sanath Nagar,"15,000",1000,Unfurnished,2 bathrooms,17.4522594,78.4446705
OWNER,2,BHK,Apartment,Banjara Hills,"17,000",1100,Unfurnished,3 bathrooms,17.4177464,78.4399014
OWNER,3,BHK,Apartment,Pocharam,"23,000",1652,Semi-Furnished,3 bathrooms,17.436614,78.6422235
OWNER,2,BHK,Independent House,Kukatpally,"12,000",900,Semi-Furnished,2 bathrooms,17.4930841,78.4054408
OWNER,2,BHK,Apartment,Kukatpally,"18,000",1195,Semi-Furnished,2 bathrooms,17.4930841,78.4054408
OWNER,3,BHK,Apartment,Chandanagar,"20,000",1555,Semi-Furnished,2 bathrooms,17.4872976,78.3322142
OWNER,2,BHK,Apartment,Old Bowenpally,"18,000",1300,Semi-Furnished,2 bathrooms,17.4755371,78.4792282
